Using backend: pytorch
Namespace(dataset='Cora', dropout=0.75, early_stopping=100, epochs=200, gpu=0, hid_dim=16, lamb=0.0005, lr=0.01, num_layers=1, num_stacks=2)
  NumNodes: 2708
  NumEdges: 10556
  NumFeats: 1433
  NumClasses: 7
  NumTrainingSamples: 140
  NumValidationSamples: 500
  NumTestSamples: 1000
Done loading data from cached files.
Model params:  92816

Accuracy & Loss:   0%|          | 0/200 [00:00<?, ?it/s]
Train Acc 0.6286 | Train Loss 1.3106 | Val Acc 0.3400 | Val loss 1.7153:  21%|██        | 42/200 [00:00<00:01, 104.79it/s]
Train Acc 0.5857 | Train Loss 1.3485 | Val Acc 0.3660 | Val loss 1.7036:  21%|██        | 42/200 [00:00<00:01, 104.79it/s]
Train Acc 0.5286 | Train Loss 1.4459 | Val Acc 0.4080 | Val loss 1.6764:  21%|██        | 42/200 [00:00<00:01, 104.79it/s]
Train Acc 0.6214 | Train Loss 1.2504 | Val Acc 0.3620 | Val loss 1.7065:  21%|██        | 42/200 [00:00<00:01, 104.79it/s]
Train Acc 0.6214 | Train Loss 1.2504 | Val Acc 0.3620 | Val loss 1.7065:  27%|██▋       | 54/200 [00:00<00:01, 107.53it/s]
Train Acc 0.7286 | Train Loss 1.1999 | Val Acc 0.3480 | Val loss 1.7101:  27%|██▋       | 54/200 [00:00<00:01, 107.53it/s]
Train Acc 0.5714 | Train Loss 1.3183 | Val Acc 0.3760 | Val loss 1.6845:  27%|██▋       | 54/200 [00:00<00:01, 107.53it/s]
Train Acc 0.6571 | Train Loss 1.2622 | Val Acc 0.3360 | Val loss 1.7406:  27%|██▋       | 54/200 [00:00<00:01, 107.53it/s]
Train Acc 0.6714 | Train Loss 1.2424 | Val Acc 0.3560 | Val loss 1.6971:  27%|██▋       | 54/200 [00:00<00:01, 107.53it/s]
Train Acc 0.6714 | Train Loss 1.2030 | Val Acc 0.4080 | Val loss 1.6518:  27%|██▋       | 54/200 [00:00<00:01, 107.53it/s]
Train Acc 0.6571 | Train Loss 1.1746 | Val Acc 0.3900 | Val loss 1.6631:  27%|██▋       | 54/200 [00:00<00:01, 107.53it/s]
Train Acc 0.6714 | Train Loss 1.1658 | Val Acc 0.4260 | Val loss 1.6721:  27%|██▋       | 54/200 [00:00<00:01, 107.53it/s]
Train Acc 0.6857 | Train Loss 1.1667 | Val Acc 0.3940 | Val loss 1.6272:  27%|██▋       | 54/200 [00:00<00:01, 107.53it/s]
Train Acc 0.7714 | Train Loss 1.1085 | Val Acc 0.4060 | Val loss 1.6229:  27%|██▋       | 54/200 [00:00<00:01, 107.53it/s]
Train Acc 0.6714 | Train Loss 1.1628 | Val Acc 0.4320 | Val loss 1.5953:  27%|██▋       | 54/200 [00:00<00:01, 107.53it/s]
Train Acc 0.6571 | Train Loss 1.1567 | Val Acc 0.3980 | Val loss 1.6206:  27%|██▋       | 54/200 [00:00<00:01, 107.53it/s]
Train Acc 0.6571 | Train Loss 1.1567 | Val Acc 0.3980 | Val loss 1.6206:  32%|███▎      | 65/200 [00:00<00:01, 108.29it/s]
Train Acc 0.7214 | Train Loss 1.0489 | Val Acc 0.4020 | Val loss 1.6644:  32%|███▎      | 65/200 [00:00<00:01, 108.29it/s]
Train Acc 0.7000 | Train Loss 1.0684 | Val Acc 0.3920 | Val loss 1.6546:  32%|███▎      | 65/200 [00:00<00:01, 108.29it/s]
Train Acc 0.7643 | Train Loss 1.0202 | Val Acc 0.4100 | Val loss 1.6376:  32%|███▎      | 65/200 [00:00<00:01, 108.29it/s]
Train Acc 0.7571 | Train Loss 1.0016 | Val Acc 0.4140 | Val loss 1.6091:  32%|███▎      | 65/200 [00:00<00:01, 108.29it/s]
Train Acc 0.6786 | Train Loss 1.0795 | Val Acc 0.4480 | Val loss 1.5886:  32%|███▎      | 65/200 [00:00<00:01, 108.29it/s]
Train Acc 0.6643 | Train Loss 1.0188 | Val Acc 0.3900 | Val loss 1.6789:  32%|███▎      | 65/200 [00:00<00:01, 108.29it/s]
Train Acc 0.7714 | Train Loss 1.0333 | Val Acc 0.4360 | Val loss 1.5839:  32%|███▎      | 65/200 [00:00<00:01, 108.29it/s]
Train Acc 0.7143 | Train Loss 0.9902 | Val Acc 0.4060 | Val loss 1.5700:  32%|███▎      | 65/200 [00:00<00:01, 108.29it/s]
Train Acc 0.6857 | Train Loss 1.0159 | Val Acc 0.4500 | Val loss 1.5639:  32%|███▎      | 65/200 [00:00<00:01, 108.29it/s]
Train Acc 0.8000 | Train Loss 0.9381 | Val Acc 0.4500 | Val loss 1.5419:  32%|███▎      | 65/200 [00:00<00:01, 108.29it/s]
Train Acc 0.7143 | Train Loss 0.8817 | Val Acc 0.4300 | Val loss 1.5674:  32%|███▎      | 65/200 [00:00<00:01, 108.29it/s]
Train Acc 0.7143 | Train Loss 0.8817 | Val Acc 0.4300 | Val loss 1.5674:  38%|███▊      | 76/200 [00:00<00:01, 107.07it/s]
Train Acc 0.8000 | Train Loss 0.9103 | Val Acc 0.4260 | Val loss 1.5814:  38%|███▊      | 76/200 [00:00<00:01, 107.07it/s]
Train Acc 0.7500 | Train Loss 0.9452 | Val Acc 0.4280 | Val loss 1.6066:  38%|███▊      | 76/200 [00:00<00:01, 107.07it/s]
Train Acc 0.7643 | Train Loss 0.8893 | Val Acc 0.4560 | Val loss 1.4933:  38%|███▊      | 76/200 [00:00<00:01, 107.07it/s]
Train Acc 0.7500 | Train Loss 0.9149 | Val Acc 0.4500 | Val loss 1.5350:  38%|███▊      | 76/200 [00:00<00:01, 107.07it/s]
Train Acc 0.7214 | Train Loss 0.9350 | Val Acc 0.4600 | Val loss 1.5235:  38%|███▊      | 76/200 [00:00<00:01, 107.07it/s]
Train Acc 0.7357 | Train Loss 0.9435 | Val Acc 0.4240 | Val loss 1.5593:  38%|███▊      | 76/200 [00:00<00:01, 107.07it/s]
Train Acc 0.7857 | Train Loss 0.8286 | Val Acc 0.4580 | Val loss 1.5577:  38%|███▊      | 76/200 [00:00<00:01, 107.07it/s]
Train Acc 0.8214 | Train Loss 0.8401 | Val Acc 0.4280 | Val loss 1.5290:  38%|███▊      | 76/200 [00:00<00:01, 107.07it/s]
Train Acc 0.7429 | Train Loss 0.9225 | Val Acc 0.4680 | Val loss 1.4923:  38%|███▊      | 76/200 [00:00<00:01, 107.07it/s]
Train Acc 0.7214 | Train Loss 0.9498 | Val Acc 0.4360 | Val loss 1.5468:  38%|███▊      | 76/200 [00:00<00:01, 107.07it/s]
Train Acc 0.7643 | Train Loss 0.8816 | Val Acc 0.4700 | Val loss 1.5085:  38%|███▊      | 76/200 [00:00<00:01, 107.07it/s]
Train Acc 0.7643 | Train Loss 0.8816 | Val Acc 0.4700 | Val loss 1.5085:  44%|████▎     | 87/200 [00:00<00:01, 105.70it/s]
Train Acc 0.7643 | Train Loss 0.8771 | Val Acc 0.4840 | Val loss 1.4711:  44%|████▎     | 87/200 [00:00<00:01, 105.70it/s]
Train Acc 0.7286 | Train Loss 0.9131 | Val Acc 0.4620 | Val loss 1.5276:  44%|████▎     | 87/200 [00:00<00:01, 105.70it/s]
Train Acc 0.7714 | Train Loss 0.8327 | Val Acc 0.4620 | Val loss 1.4999:  44%|████▎     | 87/200 [00:00<00:01, 105.70it/s]
Train Acc 0.8000 | Train Loss 0.8491 | Val Acc 0.4620 | Val loss 1.5369:  44%|████▎     | 87/200 [00:00<00:01, 105.70it/s]
Train Acc 0.8000 | Train Loss 0.8048 | Val Acc 0.4380 | Val loss 1.5316:  44%|████▎     | 87/200 [00:00<00:01, 105.70it/s]
Train Acc 0.7000 | Train Loss 0.8970 | Val Acc 0.4820 | Val loss 1.5000:  44%|████▎     | 87/200 [00:00<00:01, 105.70it/s]
Train Acc 0.7500 | Train Loss 0.8907 | Val Acc 0.4860 | Val loss 1.4746:  44%|████▎     | 87/200 [00:00<00:01, 105.70it/s]
Train Acc 0.8000 | Train Loss 0.7608 | Val Acc 0.4780 | Val loss 1.4827:  44%|████▎     | 87/200 [00:00<00:01, 105.70it/s]
Train Acc 0.8071 | Train Loss 0.6830 | Val Acc 0.4560 | Val loss 1.4560:  44%|████▎     | 87/200 [00:00<00:01, 105.70it/s]
Train Acc 0.8286 | Train Loss 0.7685 | Val Acc 0.5260 | Val loss 1.4061:  44%|████▎     | 87/200 [00:00<00:01, 105.70it/s]
Train Acc 0.7714 | Train Loss 0.7988 | Val Acc 0.5000 | Val loss 1.4559:  44%|████▎     | 87/200 [00:00<00:01, 105.70it/s]
Train Acc 0.7714 | Train Loss 0.7988 | Val Acc 0.5000 | Val loss 1.4559:  49%|████▉     | 98/200 [00:00<00:00, 106.75it/s]
Train Acc 0.7571 | Train Loss 0.7797 | Val Acc 0.4960 | Val loss 1.4927:  49%|████▉     | 98/200 [00:00<00:00, 106.75it/s]
Train Acc 0.7929 | Train Loss 0.8033 | Val Acc 0.5280 | Val loss 1.4038:  49%|████▉     | 98/200 [00:00<00:00, 106.75it/s]
Train Acc 0.7500 | Train Loss 0.8585 | Val Acc 0.4920 | Val loss 1.4745:  49%|████▉     | 98/200 [00:00<00:00, 106.75it/s]
Train Acc 0.8500 | Train Loss 0.6876 | Val Acc 0.5140 | Val loss 1.4698:  49%|████▉     | 98/200 [00:00<00:00, 106.75it/s]
Train Acc 0.8214 | Train Loss 0.7719 | Val Acc 0.4920 | Val loss 1.4628:  49%|████▉     | 98/200 [00:00<00:00, 106.75it/s]
Train Acc 0.8143 | Train Loss 0.7649 | Val Acc 0.4780 | Val loss 1.4474:  49%|████▉     | 98/200 [00:00<00:00, 106.75it/s]
Train Acc 0.7857 | Train Loss 0.7248 | Val Acc 0.5060 | Val loss 1.4331:  49%|████▉     | 98/200 [00:00<00:00, 106.75it/s]
Train Acc 0.8357 | Train Loss 0.7184 | Val Acc 0.5280 | Val loss 1.4050:  49%|████▉     | 98/200 [00:01<00:00, 106.75it/s]
