Using backend: pytorch
/data/home/scv2278/.conda/envs/graphlab/lib/python3.6/site-packages/dgl/data/utils.py:285: UserWarning: Property dataset.graph will be deprecated, please use dataset[0] instead.
  warnings.warn('Property {} will be deprecated, please use {} instead.'.format(old, new))
train_full.py:97: UserWarning: This overload of nonzero is deprecated:
	nonzero()
Consider using one of the following signatures instead:
	nonzero(*, bool as_tuple) (Triggered internally at  /pytorch/torch/csrc/utils/python_arg_parser.cpp:766.)
  train_nid = train_mask.nonzero().squeeze()
/data/home/scv2278/.conda/envs/graphlab/lib/python3.6/site-packages/numpy/core/fromnumeric.py:3373: RuntimeWarning: Mean of empty slice.
  out=out, **kwargs)
/data/home/scv2278/.conda/envs/graphlab/lib/python3.6/site-packages/numpy/core/_methods.py:170: RuntimeWarning: invalid value encountered in double_scalars
  ret = ret.dtype.type(ret / rcount)
Namespace(aggregator_type='pool', dataset='cora', dropout=0.5, gpu=0, lr=0.01, n_epochs=200, n_hidden=16, n_layers=1, weight_decay=0.0005)
  NumNodes: 2708
  NumEdges: 10556
  NumFeats: 1433
  NumClasses: 7
  NumTrainingSamples: 140
  NumValidationSamples: 500
  NumTestSamples: 1000
Done loading data from cached files.
----Data statistics------'
      #Edges 10556
      #Classes 7
      #Train samples 140
      #Val samples 500
      #Test samples 1000
use cuda: 0
Model params:  2101297
Epoch 00065 | Time(s) 0.0050 | Loss 0.2500 | Accuracy 0.7320 | ETputs(KTEPS) 2099.62
Epoch 00066 | Time(s) 0.0050 | Loss 0.2744 | Accuracy 0.7180 | ETputs(KTEPS) 2100.59
Epoch 00067 | Time(s) 0.0050 | Loss 0.2235 | Accuracy 0.7020 | ETputs(KTEPS) 2101.52
Epoch 00068 | Time(s) 0.0050 | Loss 0.2723 | Accuracy 0.6700 | ETputs(KTEPS) 2102.38
Epoch 00069 | Time(s) 0.0050 | Loss 0.2778 | Accuracy 0.6780 | ETputs(KTEPS) 2103.38
Epoch 00070 | Time(s) 0.0050 | Loss 0.2939 | Accuracy 0.7100 | ETputs(KTEPS) 2104.01
Epoch 00071 | Time(s) 0.0050 | Loss 0.2144 | Accuracy 0.7460 | ETputs(KTEPS) 2104.82
Epoch 00072 | Time(s) 0.0050 | Loss 0.2365 | Accuracy 0.7220 | ETputs(KTEPS) 2105.49
Epoch 00073 | Time(s) 0.0050 | Loss 0.3565 | Accuracy 0.7440 | ETputs(KTEPS) 2106.30
Epoch 00074 | Time(s) 0.0050 | Loss 0.2495 | Accuracy 0.7120 | ETputs(KTEPS) 2106.87
Epoch 00075 | Time(s) 0.0050 | Loss 0.1836 | Accuracy 0.6880 | ETputs(KTEPS) 2106.05
Epoch 00076 | Time(s) 0.0050 | Loss 0.3270 | Accuracy 0.6920 | ETputs(KTEPS) 2106.90
Epoch 00077 | Time(s) 0.0050 | Loss 0.2820 | Accuracy 0.7180 | ETputs(KTEPS) 2107.79
Epoch 00078 | Time(s) 0.0050 | Loss 0.2524 | Accuracy 0.7440 | ETputs(KTEPS) 2108.32
Epoch 00079 | Time(s) 0.0050 | Loss 0.3086 | Accuracy 0.7380 | ETputs(KTEPS) 2108.91
Epoch 00080 | Time(s) 0.0050 | Loss 0.2642 | Accuracy 0.7300 | ETputs(KTEPS) 2109.06
Epoch 00081 | Time(s) 0.0050 | Loss 0.3398 | Accuracy 0.7200 | ETputs(KTEPS) 2109.54
Epoch 00082 | Time(s) 0.0050 | Loss 0.2875 | Accuracy 0.7240 | ETputs(KTEPS) 2110.08
Epoch 00083 | Time(s) 0.0050 | Loss 0.2207 | Accuracy 0.6820 | ETputs(KTEPS) 2110.29
Epoch 00084 | Time(s) 0.0050 | Loss 0.3253 | Accuracy 0.6880 | ETputs(KTEPS) 2110.97
Epoch 00085 | Time(s) 0.0050 | Loss 0.2042 | Accuracy 0.7280 | ETputs(KTEPS) 2111.53
Epoch 00086 | Time(s) 0.0050 | Loss 0.2227 | Accuracy 0.7320 | ETputs(KTEPS) 2112.17
Epoch 00087 | Time(s) 0.0050 | Loss 0.3220 | Accuracy 0.7160 | ETputs(KTEPS) 2112.87
Epoch 00088 | Time(s) 0.0050 | Loss 0.3608 | Accuracy 0.7240 | ETputs(KTEPS) 2112.47
